Date,Close,Polarity,Prediction,Subjectivity,
06/04/2020,50.29,0.185008344,0,0.608042004,
09/04/2020,49.82,0.132486977,0,0.587749543,
10/04/2020,47.46,0.188886322,0,0.600031145,
11/04/2020,45.4,0.166982933,0,0.594668607,
12/04/2020,46.57,0.188307843,0,0.598891841,
13/04/2020,45.87,0.158603683,0,0.62499218,
16/04/2020,46.4,0.108294698,0,0.600536549,
17/04/2020,45.75,0.159344889,0,0.576187693,
18/04/2020,47.76,0.194505752,0,0.599002554,
19/04/2020,46.88,0.181797165,0,0.598321351,
20/04/2020,46.78,0.193048969,0,0.594405776,
23/04/2020,46.68,0.159054286,0,0.586094386,
24/04/2020,45.69,0.17314271,0,0.581162451,
25/04/2020,45.25,0.159163047,0,0.587608781,
26/04/2020,42.37,0.156476676,0,0.567500657,
27/04/2020,43.4,0.091635684,0,0.615928192,
30/04/2020,42.93,0.07500889,0,0.571578329,
01/05/2020,43.36,0.13560093,0,0.562322513,
02/05/2020,42.24,0.166185709,0,0.584946447,
03/05/2020,42.11,0.143096042,0,0.591791965,
04/05/2020,42.86,0.172776786,0,0.610536404,
07/05/2020,42.44,0.13513873,0,0.58503927,
08/05/2020,43,0.161024686,0,0.584980621,
09/05/2020,41.5,0.153801187,0,0.58840259,
10/05/2020,42.04,0.119881152,0,0.591871898,
11/05/2020,42.6,0.11881746,0,0.591584139,
14/05/2020,42.46,0.098837581,0,0.586738135,
15/05/2020,43.19,0.136718024,0,0.590734823,
16/05/2020,44.06,0.093111157,0,0.578834487,
17/05/2020,43.63,0.128217119,0,0.591044953,
18/05/2020,43.38,0.100217788,0,0.590881512,
21/05/2020,44.28,0.101749017,0,0.589037676,
22/05/2020,42.88,0.14101008,0,0.600750989,
23/05/2020,42.8,0.120708115,0,0.580212298,
24/05/2020,43.56,0.108214878,0,0.585906868,
25/05/2020,44.91,0.14737753,0,0.605815811,
29/05/2020,43.59,0.132783871,0,0.585618288,
30/05/2020,43.3,0.126717031,0,0.596989347,
31/05/2020,43.54,0.115481208,0,0.599276713,
01/06/2020,44,0.08050544,0,0.598274179,
04/06/2020,44.86,0.126340753,0,0.602478164,
05/06/2020,44.18,0.145198383,0,0.56898806,
06/06/2020,44.19,0.16381657,0,0.543523746,
07/06/2020,43.84,0.17213471,0,0.596645972,
